ID,aircraft_type,flight_time,longitude,latitude,pressure_altitude,magnetic_heading,roll_angle,pitch_angle
1,A100,2430,93.6663,42.629,5756,200.3027,-3.0782,7.5585
2,A100,2431,93.6655,42.6273,5779,200.3906,-2.7267,7.3827
3,A100,2432,93.6648,42.6256,5802.5,200.4785,-2.1994,7.4706
4,A100,2433,93.6639,42.624,5825.5,200.5664,-1.9357,7.4706
5,A100,2434,93.6632,42.6223,5847.5,200.6543,-1.4962,7.2948
6,A100,2435,93.6624,42.6206,5870,200.4785,-2.463,7.3827
7,A100,2436,93.6617,42.6189,5892,200.3027,-3.4298,7.6464
8,A100,2437,93.6608,42.6172,5913.5,200.2148,-3.254,7.5585
9,A100,2438,93.6602,42.6154,5936.5,200.039,-3.3419,7.7343
10,A100,2439,93.6595,42.6137,5959.5,200.039,-3.1661,7.5585
11,A100,2440,93.6586,42.612,5983,199.7754,-2.7267,7.7343
12,A100,2441,93.6579,42.6103,6007,199.8633,-2.7267,7.998
13,A100,2442,93.6572,42.6086,6031.5,199.7754,-2.2872,7.998
14,A100,2443,93.6564,42.6069,6057,199.5117,-2.1115,8.1737
15,A100,2444,93.6557,42.6051,6083,199.4238,-1.7599,8.1737
16,A100,2445,93.655,42.6034,6110,199.3359,-1.2326,8.2616
17,A100,2446,93.6541,42.6017,6137.5,199.4238,-0.5294,8.4374
18,A100,2447,93.6535,42.6,6165,199.5117,0.3516,8.2616
19,A100,2448,93.6528,42.5981,6193.5,199.7754,0.8789,7.9101
20,A100,2449,93.6521,42.5964,6221.5,199.7754,1.7578,7.8222
21,A100,2450,93.6512,42.5947,6249,199.9512,2.373,7.6464
22,A100,2451,93.6505,42.593,6275,199.9512,2.7246,7.4706
23,A100,2452,93.6498,42.5912,6300.5,200.039,2.373,7.6464
24,A100,2453,93.649,42.5895,6324.5,200.1269,2.0215,7.6464
25,A100,2454,93.6483,42.5878,6348.5,200.3906,2.373,7.7343
26,A100,2455,93.6475,42.5861,6372,200.3027,2.6367,7.8222
27,A100,2456,93.6468,42.5844,6396,200.5664,2.9004,8.1737
28,A100,2457,93.6459,42.5827,6420,200.6543,2.373,8.1737
29,A100,2458,93.6451,42.5808,6445,200.7422,1.582,8.2616
30,A100,2459,93.6443,42.5791,6471,200.6543,0.0879,8.7011
31,A100,2460,93.6435,42.5773,6497,200.7422,-0.7052,8.4374
32,A100,2461,93.6428,42.5756,6525,200.5664,-1.9357,8.6132
33,A100,2462,93.642,42.5739,6553,200.4785,-2.1115,8.6132
34,A100,2463,93.6411,42.5722,6581.5,200.2148,-2.7267,8.2616
35,A100,2464,93.6404,42.5705,6610,200.1269,-4.045,8.1737
36,A100,2465,93.6396,42.5688,6638.5,199.7754,-3.8693,8.3495
37,A100,2466,93.6389,42.567,6666,199.6875,-3.6935,8.2616
38,A100,2467,93.638,42.5652,6693.5,199.5996,-3.3419,8.4374
39,A100,2468,93.6373,42.5634,6720.5,199.5996,-3.1661,8.5253
40,A100,2469,93.6365,42.5617,6748,199.3359,-2.5509,8.5253
41,A100,2470,93.6358,42.56,6776,199.248,-2.1994,8.6132
42,A100,2471,93.6349,42.5583,6804,199.3359,-1.5841,8.1737
43,A100,2472,93.6342,42.5566,6832.5,199.248,-1.0568,7.9101
44,A100,2473,93.6335,42.5547,6861,199.1601,-0.7052,7.998
45,A100,2474,93.6327,42.553,6888,199.0723,-0.5294,7.9101
46,A100,2476,93.6313,42.5495,6941,199.1601,-0.09,8.0858
47,A100,2477,93.6305,42.5476,6967,199.0723,0.4394,8.0858
48,A100,2478,93.6298,42.5459,6993,199.248,-0.4416,7.998
49,A100,2479,93.6291,42.5442,7019,199.1601,-0.5294,7.9101
50,A100,2480,93.6282,42.5425,7045,199.1601,-0.1779,7.9101
51,A100,2481,93.6275,42.5406,7070,199.248,0.4394,7.998
52,A100,2482,93.6269,42.5389,7095.5,199.248,0.791,7.8222
53,A100,2483,93.626,42.5372,7121,199.4238,1.4062,7.998
54,A100,2484,93.6253,42.5354,7147,199.5117,1.2305,8.0858
55,A100,2485,93.6245,42.5336,7173,199.5996,1.0547,8.1737
56,A100,2486,93.6237,42.5318,7199.5,199.5117,0.6152,8.3495
57,A100,2487,93.6231,42.5301,7225.5,199.5117,0.4394,8.2616
58,A100,2488,93.6222,42.5284,7252.5,199.5117,0.4394,8.4374
59,A100,2489,93.6215,42.5265,7280,199.4238,-0.9689,8.4374
60,A100,2490,93.6207,42.5248,7308.5,199.248,-4.836,8.3495
61,A100,2491,93.62,42.5231,7337,198.7207,-9.3184,8.0858
62,A100,2492,93.6191,42.5214,7366,197.8418,-14.6797,8.0858
63,A100,2493,93.6184,42.5195,7394,196.6992,-21.7987,8.4374
64,A100,2494,93.6178,42.5178,7421.5,194.9414,-29.1815,8.0858
65,A100,2495,93.6171,42.5161,7449,193.3594,-35.6853,7.6464
66,A100,2496,93.6165,42.5142,7472,191.1621,-37.0915,7.4706
67,A100,2497,93.616,42.5123,7498.5,189.0527,-37.6189,7.4706
68,A100,2498,93.6155,42.5106,7523.5,187.1191,-37.4431,7.5585
